year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,torque_val,max_torque_rpm,brand,model,conf
2010,229999,168000,Diesel,Individual,Manual,First Owner,14.0,2498,112.0,7,260.0,2000.0,Mahindra,Xylo,E4 BS IV
2017,665000,25000,Diesel,Individual,Manual,First Owner,21.5,1497,108.5,5,260.0,2125.0,Tata,Nexon,1 5 Revotorq XE
2007,175000,218463,Petrol,Individual,Automatic,First Owner,12.9,1799,130.0,5,172.0,4300.0,Honda,Civic,1 8 S AT
2015,635000,173000,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,5,200.0,1750.0,Honda,City,i DTEC VX
2011,130000,70000,Petrol,Individual,Manual,Second Owner,16.5,1172,65.0,5,96.0,3000.0,Tata,Indica,Vista Aura 1 2 Safire BSIV
2019,975000,12584,Diesel,Dealer,Manual,First Owner,16.55,2498,105.0,6,247.0,1900.0,Mahindra,Thar,CRDe
2011,150000,35000,Petrol,Individual,Manual,First Owner,18.0,995,62.0,5,90.3,4200.0,Chevrolet,Spark,1 0 LS
2012,275000,70000,Petrol,Individual,Manual,Second Owner,18.5,1197,85.8,5,114.0,4000.0,Maruti,Ritz,ZXi
2011,140000,72000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,62.0,3000.0,Maruti,Alto,LX
2016,850000,58000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5,259.9,2325.0,Hyundai,Creta,1 6 CRDi SX
2018,1150000,49000,Diesel,Individual,Automatic,First Owner,22.0,1582,126.2,5,259.87,2250.0,Hyundai,Verna,CRDi 1 6 AT SX Option
2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,5,202.0,4400.0,Lexus,ES,300h
2017,600000,24500,Diesel,Dealer,Manual,First Owner,25.8,1498,98.6,5,200.0,1750.0,Honda,Amaze,S i DTEC
2009,142000,110000,Petrol,Individual,Manual,First Owner,20.36,1197,78.9,5,111.7,4000.0,Hyundai,i10,Magna
2019,530000,9500,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5,112.0,4000.0,Ford,Figo,1 2P Titanium MT
2017,4100000,17000,Petrol,Individual,Automatic,First Owner,9.5,3604,280.0,5,347.0,4300.0,Jeep,Wrangler,2016 2019 3 6 4X4
2014,560000,25000,Petrol,Individual,Manual,First Owner,16.02,1373,93.7,7,130.0,4000.0,Maruti,Ertiga,VXI
2012,140000,185000,Diesel,Individual,Manual,Second Owner,19.4,1405,70.0,5,135.4,2500.0,Tata,Indica,Vista TDI LX
2014,440000,62200,Petrol,Dealer,Manual,First Owner,17.0,1197,80.0,5,111.8,4000.0,Hyundai,i20,1 2 Sportz
2011,250000,35000,Petrol,Individual,Manual,First Owner,16.36,1495,93.7,5,124.6,3500.0,Hyundai,Accent,Executive
2011,300000,70000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5,190.0,2000.0,Maruti,Swift,VDI
2010,100000,180000,Petrol,Individual,Manual,Second Owner,19.0,998,67.1,5,90.0,3500.0,Maruti,Zen,Estilo LXI BS IV
2015,750000,74000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5,259.9,2325.0,Hyundai,Creta,1 6 CRDi SX Option
2015,250000,20000,Petrol,Individual,Automatic,First Owner,21.9,624,37.48,4,51.0,4000.0,Tata,Nano,XTA
2017,754000,40000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5,190.0,2000.0,Maruti,Swift,Dzire ZDI
